experimento,estrategia,carga,taxa,repeticao,tentativa,ordem,timestamp,throughput,requisicoes,lat_media,lat_p50,lat_p90,lat_p95,lat_p99,lat_max,leitura_p50,leitura_p95,leitura_p99,escrita_p50,escrita_p95,escrita_p99,taxa_erros,descartadas,taxa_acerto_cache,nginx_hits,respostas_304,api_requisicoes,api_ops_banco,sql_total,sql_select,api_cpu_media,api_cpu_max,api_mem_media_mib,api_mem_max_mib,pg_cpu_media,redis_cpu_media,redis_mem_media_mib,nginx_cpu_media,k6_cpu_media,k6_cpu_max,host_swap_mib,host_mem_livre_pct,sustentavel
calibracao,none,escrita,200,1,1,1,2026-09-23T03:00:44.735Z,200.0163,4001,1.9484,1.9392,2.4003,2.6635,4.4194,10.1135,0.9022,1.8012,2.3138,1.9711,2.7054,4.4976,0,0,,0,0,4001,4082,19044,8455,31.91,36.45,129.64,130.2,8.91,0.84,18.86,1.81,8.43,10.53,0,51,1
calibracao,none,escrita,300,1,1,2,2026-09-23T03:01:27.423Z,300.0225,6001,1.7319,1.6309,2.0127,2.4314,5.4812,20.0488,0.748,1.6418,2.9738,1.6524,2.5396,5.6021,0,0,,0,0,6001,6135,28459,12640,39.03,45.34,128.73,130.9,11.4,0.76,18.8,2.34,10.55,13.37,0,54,1
calibracao,none,escrita,400,1,1,3,2026-09-23T03:02:10.005Z,399.9816,8000,1.8112,1.4684,1.883,2.8863,9.026,53.8442,0.657,1.4599,4.6139,1.4899,3.1411,9.7704,0,0,,0,0,8000,8168,37966,16853,45.89,64.12,142.51,143.7,13.97,0.75,18.8,2.88,14.99,36.71,0,56,1
calibracao,none,escrita,500,1,1,4,2026-09-23T03:02:52.653Z,500.0018,10001,1.7272,1.4682,2.1528,3.1552,7.6569,40.5025,0.657,1.6818,5.4682,1.502,3.2784,7.8586,0,0,,0,0,10001,10214,47469,21056,55.54,62.34,149.55,150.4,17.37,0.69,18.8,3.55,16.06,23.9,0,56,1
calibracao,none,escrita,600,1,1,5,2026-09-23T03:03:35.323Z,600.0127,12001,2.1486,1.4388,2.6346,5.3868,17.0723,511.7317,0.6517,2.7304,15.6818,1.4703,5.7409,17.103,0,0,,0,0,12001,12262,56903,25284,61.45,77.31,166.97,168.4,20.35,0.71,18.81,4.33,18.29,24.71,0,55,1
calibracao,none,escrita,700,1,1,6,2026-09-23T03:04:18.107Z,699.989,14001,3.7275,1.4746,6.887,19.0013,40.2426,501.2494,0.6802,14.228,42.9239,1.5097,19.3422,39.617,0,0,,0,0,14001,14299,66454,29507,70.09,87.1,164.73,165.8,23.61,0.71,18.8,4.78,23.59,55.46,0,52,1
calibracao,none,escrita,800,1,1,7,2026-09-23T03:05:02.135Z,798.26,16001,17.8422,1.8756,55.8998,91.3842,167.3414,2119.1906,0.9997,168.3008,615.3676,1.9175,88.1833,152.6482,0,0,,0,0,16001,16341,75927,33758,80.34,100.89,169.76,170.7,29.19,0.72,18.8,5.36,23.27,34.19,0,51,1
calibracao,none,escrita,1000,1,1,8,2026-09-23T03:05:47.730Z,820.5841,17553,1048.1311,875.8301,1323.8617,1808.6854,6683.4356,6918.8697,1806.4932,6738.1339,6832.9834,867.6812,1032.0758,1318.9976,0,2448,,0,0,17553,17922,83415,37096,96.59,106.14,173.07,176.5,36.45,0.76,18.8,6.06,29.76,66.67,0,50,0
calibracao,none,escrita,1000,1,2,9,2026-09-23T03:06:33.480Z,831.1132,17744,1050.9123,869.6497,1495.2058,1782.3076,6657.7598,6918.5567,1781.0794,6717.4112,6807.493,861.7023,1006.8291,1497.6811,0,2258,,0,0,17744,18116,84342,37516,96.54,107.99,176.64,178.2,37.06,0.76,18.8,6.21,26.37,38.22,0,50,0
calibracao,none,mista,200,1,1,10,2026-09-23T03:07:16.241Z,199.9956,4001,1.8759,1.8682,2.9387,3.3093,4.4326,8.9302,1.0311,2.0033,2.4917,2.4786,3.6909,5.345,0,0,,0,0,4001,4382,14582,8627,29.19,35.9,128.99,133.8,9.69,0.94,18.81,2.13,10.39,21.75,0,50,1
calibracao,none,mista,300,1,1,11,2026-09-23T03:08:26.401Z,300.0079,6001,1.5926,1.5768,2.2299,2.4853,5.206,501.4953,0.765,1.5915,3.418,1.8833,2.7049,5.9285,0,0,,0,0,6001,6584,21939,12936,33.55,39.54,130.75,132.2,11.63,0.8,18.87,2.53,11.91,28.83,0,52,1
calibracao,none,mista,400,1,1,12,2026-09-23T03:09:09.286Z,399.9847,8001,1.4923,1.4355,1.9842,2.2958,4.8755,501.847,0.6765,1.3869,3.1846,1.682,2.6808,5.6746,0,0,,0,0,8001,8787,29265,17258,39.94,47.78,138.38,140,13.85,0.73,18.85,3.09,14.9,35.39,0,52,1
calibracao,none,mista,500,1,1,13,2026-09-23T03:09:52.092Z,499.9811,10001,1.5069,1.3746,2.0014,2.3859,5.799,501.8393,0.6371,1.4088,4.6514,1.6127,2.8531,6.1867,0,0,,0,0,10001,11000,36638,21580,44.87,55.84,138.67,139.4,16.1,0.7,18.81,3.67,15.27,19.28,0,52,1
calibracao,none,mista,600,1,1,14,2026-09-23T03:10:34.863Z,599.9791,12001,1.6795,1.3305,2.0098,2.6015,7.378,503.5072,0.6241,1.6018,5.8583,1.5629,3.4199,7.9194,0,0,,0,0,12001,13230,43939,25935,53.36,62.36,143.7,144.5,18.82,0.71,18.81,4.24,17.42,23.01,0,50,1
calibracao,none,mista,700,1,1,15,2026-09-23T03:11:17.819Z,699.9641,14001,2.6061,1.367,2.3077,3.9917,15.5507,1001.1748,0.6531,2.4656,15.8446,1.6353,4.7782,15.3572,0,0,,0,0,14001,15401,51212,30226,58.03,69.77,151.76,152.3,21.76,0.71,18.81,4.83,19.92,28.61,0,51,1
calibracao,none,mista,800,1,1,16,2026-09-23T03:12:00.667Z,800.0107,16002,4.7278,1.4178,3.5212,11.4468,36.1241,1002.0632,0.7282,9.2302,53.2835,1.7795,12.3806,32.0964,0,0,,0,0,16002,17586,58489,34553,66.09,74.83,150.98,151.6,25.65,0.68,18.81,5.26,22.48,30.1,0,51,1
calibracao,none,mista,1000,1,1,17,2026-09-23T03:12:46.865Z,982.5725,20000,16.0291,1.8221,30.1461,48.494,500.9922,1501.7777,1.0228,66.1062,502.2083,2.2054,39.6563,73.6394,0,0,,0,0,20000,21999,73171,43204,85.73,91.36,153.57,154.8,33.51,0.73,18.81,6.18,26.81,37.04,0,51,1
calibracao,none,mista,1200,1,1,18,2026-09-23T03:13:34.246Z,952.4045,21337,854.9863,222.5824,4003.3151,5252.9081,5301.9379,5384.5974,332.1189,5278.2425,5317.5332,154.9278,269.453,298.9982,0,2663,,0,0,21337,23492,77836,46080,98.57,106.08,156.78,159.3,40.19,0.75,18.84,7.8,30.64,43.67,0,50,0
calibracao,none,mista,1200,1,2,19,2026-09-23T03:14:21.869Z,953.2698,21068,889.9555,236.6836,4203.1538,5253.6362,5298.9719,5377.8182,441.7911,5276.175,5323.3209,158.3441,364.833,432.9176,0,2933,,0,0,21068,23173,76763,45485,95.9,105.94,153.99,155.5,38.22,0.74,18.84,7.44,32.6,72.18,0,50,0
