experimento,estrategia,carga,taxa,repeticao,tentativa,ordem,timestamp,throughput,requisicoes,lat_media,lat_p50,lat_p90,lat_p95,lat_p99,lat_max,leitura_p50,leitura_p95,leitura_p99,escrita_p50,escrita_p95,escrita_p99,taxa_erros,descartadas,taxa_acerto_cache,nginx_hits,respostas_304,api_requisicoes,api_ops_banco,sql_total,sql_select,api_cpu_media,api_cpu_max,api_mem_media_mib,api_mem_max_mib,pg_cpu_media,redis_cpu_media,redis_mem_media_mib,nginx_cpu_media,k6_cpu_media,k6_cpu_max,host_swap_mib,host_mem_livre_pct,sustentavel
latencia,none,mista,450,1,1,1,2026-09-23T03:23:28.500Z,450.0048,27001,1.3909,1.3577,1.9103,2.2569,5.1239,502.1836,0.6384,1.3888,3.5934,1.6042,2.5879,5.8722,0,0,,0,0,27001,29695,97582,57835,41.21,47.99,131.03,132.2,14.85,0.72,18.82,3.41,14.85,39,0,49,1
latencia,redis,mista,450,1,1,2,2026-09-23T03:25:06.759Z,450.0071,27001,1.461,1.5183,2.1525,2.5041,5.2401,502.4246,0.7293,1.6679,3.4296,1.7721,2.811,6.1672,0,0,0.392,0,0,27001,24422,87039,47292,42.77,50.12,140.08,142.3,13.53,2.66,38.83,3.4,14.23,18.04,0,49,1
latencia,none,leitura,450,1,1,3,2026-09-23T03:26:44.963Z,446.1888,27007,1.2296,0.7342,1.7984,2.2757,3.3206,1001.2306,0.7185,1.3524,2.8086,2.177,3.1211,5.3541,0,0,,0,0,27007,31918,67222,59318,31.28,35,131.17,133,13.11,0.75,22.37,3.57,14.71,19,0,49,1
latencia,memory,mista,450,1,1,4,2026-09-23T03:28:22.576Z,450.0084,27001,2.9222,1.4079,2.0983,3.5858,47.5506,999.8458,0.6071,1.8106,44.1371,1.6441,4.6963,48.2744,0,0,0.3925,0,0,27001,24413,87066,47295,40.55,47.21,165.39,182.9,13.8,0.72,21.51,3.42,14.49,20.76,0,51,1
latencia,memory,escrita,450,1,1,5,2026-09-23T03:30:00.361Z,450.0193,27001,1.9074,1.4088,1.9953,3.1615,13.6991,82.9595,0.6366,1.5647,9.3822,1.4307,3.3563,14.011,0,0,0.1292,0,0,27001,27219,126304,55503,47.04,57.53,150.18,151.4,15.52,0.71,20.12,3.19,13.94,18.94,0,51,1
latencia,http,mista,450,1,1,6,2026-09-23T03:31:38.129Z,450.0104,27001,1.0691,0.9306,2.0312,2.3488,4.5778,29.9032,0.1096,0.7786,1.256,1.7058,2.8092,6.3429,0,0,0.8632,11570,967,15431,15550,71867,32120,32.32,44.29,130.67,131.8,10.21,0.74,19.63,3.43,14.42,19.33,0,51,1
latencia,http,leitura,450,1,1,7,2026-09-23T03:33:16.014Z,450.0166,27001,0.5759,0.1658,1.8695,3.1756,4.704,11.4717,0.1597,1.11,1.6392,3.1757,5.2985,6.4861,0,0,0.8977,21837,2737,5164,5293,18754,10850,15.94,24.12,125.01,127,5.25,1.02,19.61,4.27,20.93,45.12,0,50,1
latencia,memory,leitura,450,1,1,8,2026-09-23T03:34:53.733Z,450.0204,27001,1.9832,0.2878,2.111,2.7378,20.8888,999.6795,0.2692,1.5603,19.947,2.5021,3.9592,29.6502,0,0,0.6635,0,0,27001,15472,34622,26724,26.02,39.11,180.78,207.3,9.28,0.82,19.61,3.83,16.03,21.89,0,49,1
latencia,http,escrita,450,1,1,9,2026-09-23T03:36:31.573Z,450.0088,27001,1.5187,1.4249,1.8996,2.3448,6.0036,34.2218,0.1118,0.9039,1.7013,1.4472,2.4496,6.2076,0,0,0.7796,2094,41,24907,24978,122316,51515,45.67,51.69,149.93,150.7,14.45,0.7,19.59,3.25,14.16,20.03,0,50,1
latencia,redis,leitura,450,1,1,10,2026-09-23T03:38:09.797Z,449.0135,27001,1.1348,0.3798,2.0438,2.5507,3.4309,508.273,0.3563,1.7999,2.5478,2.462,3.5816,5.5989,0,0,0.6638,0,0,27001,15462,34602,26698,27.27,32.85,129.9,132.1,9.09,2.72,53.19,3.59,15.62,39.21,0,50,1
latencia,redis,escrita,450,1,1,11,2026-09-23T03:40:14.998Z,450.0148,27001,1.8007,1.5391,2.1985,2.9654,7.9747,50.0743,0.7557,1.8811,5.4092,1.5644,3.1188,8.1671,0,0,0.1292,0,0,27001,27218,126301,55500,50.56,57.62,152.22,153,15.36,2.45,25.87,3.24,14.03,20.57,0,50,1
latencia,none,escrita,450,1,1,12,2026-09-23T03:41:52.827Z,450.0022,27000,1.5604,1.3974,1.8839,2.4101,6.1404,36.6293,0.6294,1.3744,3.0839,1.419,2.544,6.2606,0,0,,0,0,27000,27565,126993,56195,46.62,57.22,145.27,147,15.33,0.69,21.55,3.22,14.13,22.08,0,48,1
latencia,redis,mista,450,2,1,13,2026-09-23T03:43:30.677Z,450.0104,27001,1.4676,1.516,2.1208,2.4636,5.2343,502.718,0.7286,1.687,3.6863,1.7523,2.7945,6.0879,0,0,0.3904,0,0,27001,24439,87066,47319,41.94,48.23,138.68,140,13.72,2.66,39.45,3.38,14.73,38.89,0,49,1
latencia,memory,leitura,450,2,1,14,2026-09-23T03:45:08.529Z,450.0192,27001,2.181,0.2795,2.0421,2.6408,20.4198,502.7238,0.2636,1.5771,20.167,2.4087,3.7148,20.9714,0,0,0.6645,0,0,27001,15433,34563,26662,24.57,37.54,184.61,213.6,9.78,0.83,22.9,3.76,16.57,40.08,0,48,1
latencia,redis,escrita,450,2,1,15,2026-09-23T03:46:46.438Z,450.0063,27001,1.7938,1.54,2.1938,2.8518,7.2081,52.8256,0.7636,1.8247,4.3813,1.5661,3.0406,7.3878,0,0,0.1292,0,0,27001,27219,126302,55501,51.28,58.49,152.25,153.8,15.34,2.47,25.07,3.14,13.88,19.28,0,49,1
latencia,memory,escrita,450,2,1,16,2026-09-23T03:48:24.334Z,450.0089,27001,1.7718,1.4088,1.9852,3.2444,11.3195,53.4105,0.6299,1.598,9.0499,1.4305,3.4448,11.4732,0,0,0.1318,0,0,27001,27212,126289,55488,47.97,55.2,146.39,148.1,15.46,0.72,21.6,3.26,14.17,19.01,0,49,1
latencia,none,mista,450,2,1,17,2026-09-23T03:50:02.169Z,450.0081,27000,1.4408,1.3429,1.9071,2.2312,5.2994,503.1345,0.6361,1.3485,3.693,1.6034,2.5958,6.2071,0,0,,0,0,27000,29694,97580,57833,40.91,48.15,134.63,137.3,14.62,0.73,20.66,3.4,14.35,18.54,0,49,1
latencia,http,escrita,450,2,1,18,2026-09-23T03:51:40.115Z,450.01,27001,1.4922,1.4123,1.8889,2.3776,5.8007,26.7577,0.1129,0.9162,1.7333,1.4348,2.5157,6.0215,0,0,0.7803,2096,44,24905,24977,122313,51512,45.54,50.98,151.46,152.7,14.55,0.72,19.87,3.22,14.09,18.46,0,47,1
latencia,memory,mista,450,2,1,19,2026-09-23T03:53:18.014Z,450.0185,27001,3.5714,1.3967,2.1313,4.1778,57.0971,502.3599,0.6149,2.4727,60.9649,1.6314,5.0581,54.4054,0,0,0.3919,0,0,27001,24420,87055,47308,39.97,48.73,165.64,183.1,13.52,0.72,19.87,3.45,14.37,19.25,0,50,1
latencia,http,mista,450,2,1,20,2026-09-23T03:54:56.123Z,450.0073,27000,1.0381,0.9335,2.0043,2.3008,4.0659,30.8401,0.1094,0.7963,1.2251,1.6922,2.6348,5.3516,0,0,0.8633,11570,961,15430,15548,71867,32117,32.18,41.33,132.64,134.4,10.11,0.73,19.87,3.36,14.33,19.18,0,49,1
latencia,http,leitura,450,2,1,21,2026-09-23T03:57:01.386Z,450.0097,27001,0.5839,0.1649,1.9278,3.1965,4.7985,71.8135,0.1583,1.0946,1.6164,3.1893,5.3259,6.7278,0,0,0.8979,21842,2740,5159,5287,18743,10839,15.88,26.01,124.04,125.6,5.3,1.02,19.87,4.27,20.02,29.16,0,49,1
latencia,none,leitura,450,2,1,22,2026-09-23T03:58:39.289Z,450.0167,27001,1.1716,0.7288,1.7997,2.2901,3.3043,501.9338,0.713,1.3467,2.6157,2.2062,3.2056,5.8532,0,0,,0,0,27001,31909,67207,59303,30.5,34.32,132.02,133.3,13.2,0.75,19.89,3.55,14.89,19.24,0,47,1
latencia,none,escrita,450,2,1,23,2026-09-23T04:00:17.137Z,449.9672,27001,1.595,1.396,1.8914,2.49,6.2025,62.1035,0.6329,1.3441,3.2636,1.4187,2.6681,6.3906,0,0,,0,0,27001,27566,126998,56197,46.58,55.23,150.67,151.9,15.57,0.73,19.86,3.21,14.7,39.32,0,45,1
latencia,redis,leitura,450,2,1,24,2026-09-23T04:01:55.072Z,450.012,27001,1.2465,0.3859,2.0511,2.5756,3.4802,1001.8212,0.3605,1.7619,2.5032,2.487,3.6668,5.8658,0,0,0.6642,0,0,27001,15449,34569,26668,27.63,32.75,128.13,129.7,8.65,2.75,53.38,3.59,15.11,19.4,0,46,1
latencia,http,leitura,450,3,1,25,2026-09-23T04:03:33.520Z,450.0167,27001,0.5866,0.1658,1.8924,3.191,4.7841,55.563,0.1591,1.1105,1.6217,3.1908,5.4124,7.0201,0,0,0.8978,21838,2736,5163,5292,18752,10848,16.35,26.06,124.8,126.6,5.11,0.98,23.62,4.33,20.2,29.45,0,47,1
latencia,redis,escrita,450,3,1,26,2026-09-23T04:05:11.538Z,450.0075,27001,1.8585,1.56,2.236,3.0686,7.4766,78.8531,0.7624,1.9002,5.1318,1.5878,3.2348,7.6807,0,0,0.1299,0,0,27001,27217,126298,55497,50.85,57.61,151.71,152.8,15.38,2.48,25.38,3.2,13.91,19.48,0,46,1
latencia,none,leitura,450,3,1,27,2026-09-23T04:06:49.444Z,450.0046,27001,1.121,0.7358,1.813,2.276,3.2374,502.0992,0.7208,1.3497,2.6616,2.1914,3.1314,4.9501,0,0,,0,0,27001,31908,67206,59302,31.28,34.95,132.66,134.1,13.07,0.75,22,3.62,14.95,19.51,0,48,1
latencia,http,mista,450,3,1,28,2026-09-23T04:08:27.342Z,450.0019,27001,1.0551,0.9254,2.0234,2.3331,4.385,41.0252,0.1092,0.7794,1.2806,1.7026,2.7061,5.7287,0,0,0.8636,11575,959,15426,15544,71859,32109,32.73,41.9,132.11,133.9,10.05,0.75,20.95,3.37,14.33,18.9,0,48,1
