carga,estrategia,acerto_pct,sql_por_req,reducao_sql_pct,api_cpu,api_mem_mib,pg_cpu,redis_cpu,nginx_cpu,k6_cpu_max
leitura,none,nan,2.489063854299073,0.0,31.142,130.04399999999998,13.244,0.756,3.6,19.756
leitura,memory,66.386,1.2815895707566387,48.51118148121846,25.336,183.13,9.427999999999999,0.826,3.808,28.448
leitura,redis,66.378,1.281352542498426,48.520704268583,27.456,130.358,8.93,2.726,3.612,32.002
leitura,http,89.772,0.694529832228436,72.09674508635628,16.004,124.188,5.196,1.012,4.306,32.688
mista,none,nan,3.6140706942266885,0.0,41.326,134.078,14.794,0.73,3.412,23.482
mista,memory,39.252,3.2239415023037554,10.794730511114414,40.156,166.222,13.778,0.73,3.416,27.524
mista,redis,39.188,3.223488018962261,10.807278227522376,42.286,137.97,13.586,2.656,3.412,29.352
mista,http,86.33,2.661585300407255,26.354918716476273,32.272,131.57399999999998,10.122,0.742,3.378,19.096
escrita,none,nan,4.703451034323831,0.0,46.924,149.01,15.446,0.71,3.21,28.426000000000002
escrita,memory,12.860000000000001,4.677819340024444,0.5449550577297013,47.57,148.94,15.458,0.71,3.214,25.12
escrita,redis,12.894,4.677693418762268,0.5476322677454237,50.822,150.942,15.366,2.47,3.2,24.024
escrita,http,77.974,4.530043558880536,3.6868136646441063,45.432,148.484,14.562,0.71,3.258,23.302
