carga,estrategia,lat_p50_media,lat_p50_dp,lat_p50_mediana,lat_p95_media,lat_p95_dp,lat_p95_mediana,lat_p99_media,lat_p99_dp,lat_p99_mediana,leitura_p95_media,leitura_p95_dp,leitura_p95_mediana,escrita_p95_media,escrita_p95_dp,escrita_p95_mediana,throughput_media,throughput_dp,throughput_mediana
leitura,none,0.73344,0.0031389488686501504,0.7342,2.2948399999999998,0.021237772952925265,2.2901,3.3671,0.1139905697853994,3.3206,1.36918,0.026947114873395992,1.3524,3.16114,0.04762429002095457,3.1314,449.24432,1.7080970045638453,450.0046
leitura,memory,0.28464,0.0037905144769542812,0.2847,2.69688,0.06475713860262819,2.6765,20.05446,8.347162573473696,20.4198,1.57094,0.02491912919826854,1.5771,3.84184,0.09124123519549707,3.8463,450.01526,0.007679062442762764,450.0176
leitura,redis,0.38398,0.0025820534463871845,0.3842,2.57546,0.0289532899684993,2.5756,3.49784,0.10675442847957178,3.4802,1.79756,0.02838059195999969,1.7943,3.58596,0.06032232588353988,3.5816,449.75376,0.4312707479066827,450.0069
leitura,http,0.16542,0.0008043631020876107,0.1658,3.18744,0.008429887306482694,3.191,4.74716,0.08021513572886331,4.7841,1.10596,0.006575940997302229,1.1086,5.31852,0.08090300983276201,5.3259,450.01494,0.0031785216689440947,450.0166
mista,none,1.35544,0.009633690881484632,1.3577,2.2518,0.0269448510851332,2.2569,5.14516,0.1559276210297585,5.1295,1.38564,0.022333114426787856,1.3909,2.62598,0.0759605292240647,2.5958,449.3759,1.4068251117320776,450.0048
mista,memory,1.3989800000000001,0.005166913972575844,1.3967,3.89034,0.7691357799504585,4.1778,47.0763,10.708624145752806,48.2506,2.12516,0.4378051884114669,2.3872,5.05974,0.8560429504411563,5.0581,450.00504,0.008517217855615792,450.0009
mista,redis,1.51752,0.012377681527652853,1.516,2.4934600000000002,0.03709276209720706,2.4881,5.47112,0.2847695243525895,5.3203,1.67454,0.02457850687084141,1.687,2.89272,0.10640052631448771,2.8893,450.00464,0.005031202639520428,450.0069
mista,http,0.93138,0.00768029947332785,0.9306,2.3206,0.027305585509195755,2.3331,4.29918,0.1923900387234224,4.2381,0.78466,0.008394224204773204,0.7794,2.70912,0.06658706330812325,2.7061,450.00192,0.007325093856047716,450.0019
escrita,none,1.40112,0.006366474691695604,1.3974,2.43842,0.03421172313696008,2.4394,6.1067,0.11442147962686,6.1404,1.4216,0.06179069509238421,1.4293,2.5592,0.06325069169582259,2.544,449.98806,0.01570534940714317,449.9943
escrita,memory,1.41134,0.004913043863024224,1.4088,3.03534,0.17980889299475708,3.068,10.42574,2.389902133561121,10.5995,1.54664,0.04244499970550126,1.5601,3.22786,0.18562993562461844,3.2517,450.00776,0.0077809382467607085,450.0088
escrita,redis,1.53812,0.014395033865885823,1.5391,2.87772,0.13931330517936893,2.8518,7.120080000000001,0.6537044875171043,7.2081,1.8626,0.06012183463601223,1.8811,3.03936,0.14383041402985663,3.0406,450.00628,0.007002285341228374,450.0075
escrita,http,1.41984,0.00899933330864014,1.4223,2.36732,0.015067581093194672,2.3758,5.86578,0.17047110312308053,5.9631,0.92826,0.0369717865405501,0.9162,2.4903,0.028171173209506066,2.5061,450.00025999999997,0.012295649637179523,450.0027
