metrica,carga,kw_h,kw_p,a,b,mediana_a,mediana_b,razao_b_a,cliff_b_vs_a,magnitude,p,p_holm
lat_p95,leitura,17.85714285714286,4.999750012499375e-05,none,memory,2.2901,2.6765,1.1687262564953496,1.0,grande,0.011925233593017602,0.047619047619047616
lat_p95,leitura,17.85714285714286,4.999750012499375e-05,none,redis,2.2901,2.5756,1.1246670451072007,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,leitura,17.85714285714286,4.999750012499375e-05,none,http,2.2901,3.191,1.3933889349810054,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,leitura,17.85714285714286,4.999750012499375e-05,memory,redis,2.6765,2.5756,0.962301513170185,-1.0,grande,0.011925233593017602,0.047619047619047616
lat_p95,leitura,17.85714285714286,4.999750012499375e-05,memory,http,2.6765,3.191,1.192228656827947,1.0,grande,0.011925233593017602,0.047619047619047616
lat_p95,leitura,17.85714285714286,4.999750012499375e-05,redis,http,2.5756,3.191,1.23893461717658,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,mista,17.582857142857137,4.999750012499375e-05,none,memory,2.2569,4.1778,1.8511232221188358,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,mista,17.582857142857137,4.999750012499375e-05,none,redis,2.2569,2.4881,1.1024414019229918,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,mista,17.582857142857137,4.999750012499375e-05,none,http,2.2569,2.3331,1.0337631264123355,0.92,grande,0.015873015873015872,0.047619047619047616
lat_p95,mista,17.582857142857137,4.999750012499375e-05,memory,redis,4.1778,2.4881,0.5955526832304083,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,mista,17.582857142857137,4.999750012499375e-05,memory,http,4.1778,2.3331,0.5584518167456556,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,mista,17.582857142857137,4.999750012499375e-05,redis,http,2.4881,2.3331,0.937703468510108,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,escrita,16.55428571428571,4.999750012499375e-05,none,memory,2.4394,3.068,1.2576863163072887,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,escrita,16.55428571428571,4.999750012499375e-05,none,redis,2.4394,2.8518,1.1690579650733786,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,escrita,16.55428571428571,4.999750012499375e-05,none,http,2.4394,2.3758,0.9739280150856767,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,escrita,16.55428571428571,4.999750012499375e-05,memory,redis,3.068,2.8518,0.9295306388526727,-0.52,grande,0.2222222222222222,0.2222222222222222
lat_p95,escrita,16.55428571428571,4.999750012499375e-05,memory,http,3.068,2.3758,0.774380704041721,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p95,escrita,16.55428571428571,4.999750012499375e-05,redis,http,2.8518,2.3758,0.8330878743249878,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,leitura,16.714285714285708,4.999750012499375e-05,none,memory,3.3206,20.4198,6.149430825754381,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,leitura,16.714285714285708,4.999750012499375e-05,none,redis,3.3206,3.4802,1.04806360296332,0.6,grande,0.15079365079365079,0.15079365079365079
lat_p99,leitura,16.714285714285708,4.999750012499375e-05,none,http,3.3206,4.7841,1.4407336023610189,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,leitura,16.714285714285708,4.999750012499375e-05,memory,redis,20.4198,3.4802,0.17043261932046347,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,leitura,16.714285714285708,4.999750012499375e-05,memory,http,20.4198,4.7841,0.2342873093761937,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,leitura,16.714285714285708,4.999750012499375e-05,redis,http,3.4802,4.7841,1.374662375725533,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,mista,16.897142857142853,4.999750012499375e-05,none,memory,5.1295,48.2506,9.406491860805145,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,mista,16.897142857142853,4.999750012499375e-05,none,redis,5.1295,5.3203,1.037196607856516,0.68,grande,0.09523809523809523,0.09523809523809523
lat_p99,mista,16.897142857142853,4.999750012499375e-05,none,http,5.1295,4.2381,0.8262208792279949,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,mista,16.897142857142853,4.999750012499375e-05,memory,redis,48.2506,5.3203,0.11026391381661575,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,mista,16.897142857142853,4.999750012499375e-05,memory,http,48.2506,4.2381,0.0878351771791439,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,mista,16.897142857142853,4.999750012499375e-05,redis,http,5.3203,4.2381,0.7965904178335809,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,escrita,16.577142857142846,4.999750012499375e-05,none,memory,6.1404,10.5995,1.7261904761904765,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,escrita,16.577142857142846,4.999750012499375e-05,none,redis,6.1404,7.2081,1.1738811803791285,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,escrita,16.577142857142846,4.999750012499375e-05,none,http,6.1404,5.9631,0.971125659566152,-0.76,grande,0.05555555555555555,0.06349206349206349
lat_p99,escrita,16.577142857142846,4.999750012499375e-05,memory,redis,10.5995,7.2081,0.6800415113920467,-0.84,grande,0.031746031746031744,0.06349206349206349
lat_p99,escrita,16.577142857142846,4.999750012499375e-05,memory,http,10.5995,5.9631,0.5625831407141846,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p99,escrita,16.577142857142846,4.999750012499375e-05,redis,http,7.2081,5.9631,0.827277645981604,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p50,leitura,17.85714285714286,4.999750012499375e-05,none,memory,0.7342,0.2847,0.38776900027240535,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p50,leitura,17.85714285714286,4.999750012499375e-05,none,redis,0.7342,0.3842,0.5232906564968673,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p50,leitura,17.85714285714286,4.999750012499375e-05,none,http,0.7342,0.1658,0.22582402615091257,-1.0,grande,0.011925233593017602,0.047619047619047616
lat_p50,leitura,17.85714285714286,4.999750012499375e-05,memory,redis,0.2847,0.3842,1.3494906919564453,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p50,leitura,17.85714285714286,4.999750012499375e-05,memory,http,0.2847,0.1658,0.5823674042852125,-1.0,grande,0.011925233593017602,0.047619047619047616
lat_p50,leitura,17.85714285714286,4.999750012499375e-05,redis,http,0.3842,0.1658,0.43154606975533577,-1.0,grande,0.011925233593017602,0.047619047619047616
lat_p50,mista,17.85714285714286,4.999750012499375e-05,none,memory,1.3577,1.3967,1.0287250497164324,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p50,mista,17.85714285714286,4.999750012499375e-05,none,redis,1.3577,1.516,1.1165942402592621,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p50,mista,17.85714285714286,4.999750012499375e-05,none,http,1.3577,0.9306,0.6854238786182515,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p50,mista,17.85714285714286,4.999750012499375e-05,memory,redis,1.3967,1.516,1.0854156225388416,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p50,mista,17.85714285714286,4.999750012499375e-05,memory,http,1.3967,0.9306,0.6662848142049116,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p50,mista,17.85714285714286,4.999750012499375e-05,redis,http,1.516,0.9306,0.6138522427440634,-1.0,grande,0.007936507936507936,0.047619047619047616
lat_p50,escrita,15.525714285714287,4.999750012499375e-05,none,memory,1.3974,1.4088,1.008158007728639,0.76,grande,0.05932706094652354,0.11865412189304708
lat_p50,escrita,15.525714285714287,4.999750012499375e-05,none,redis,1.3974,1.5391,1.1014026048375554,1.0,grande,0.007936507936507936,0.047619047619047616
lat_p50,escrita,15.525714285714287,4.999750012499375e-05,none,http,1.3974,1.4223,1.0178188063546585,0.92,grande,0.015873015873015872,0.04770093437207041
lat_p50,escrita,15.525714285714287,4.999750012499375e-05,memory,redis,1.4088,1.5391,1.0924900624645086,1.0,grande,0.011925233593017602,0.04770093437207041
lat_p50,escrita,15.525714285714287,4.999750012499375e-05,memory,http,1.4088,1.4223,1.0095826235093697,0.68,grande,0.09369261949324824,0.11865412189304708
lat_p50,escrita,15.525714285714287,4.999750012499375e-05,redis,http,1.5391,1.4223,0.924111493730102,-1.0,grande,0.007936507936507936,0.047619047619047616
